code,name,swatch,iscool
Y48-059-077,Resene Horses Neck,jpegs/Resene_Horses_Neck.jpg,true
N84-005-286,Resene In The Mauve,jpegs/Resene_In_The_Mauve.jpg,true
BR62-021-064,Resene Incognito,jpegs/Resene_Incognito.jpg,true
B26-017-270,Resene Indian Ink,jpegs/Resene_Indian_Ink.jpg,true
V55-012-348,Resene Innuendo,jpegs/Resene_Innuendo.jpg,true
G66-009-165,Resene Inside Back,jpegs/Resene_Inside_Back.jpg,true
WD005,Resene Iroko,jpegs/Resene_Iroko.jpg,true
N86-002-236,Resene Iron,jpegs/Resene_Iron.jpg,true
B42-022-240,Resene Ivanhoe,jpegs/Resene_Ivanhoe.jpg,true
WD019,Resene Jacaranda,jpegs/Resene_Jacaranda.jpg,true
V36-051-294,Resene Jacarta,jpegs/Resene_Jacarta.jpg,true
BR46-018-071,Resene Judge Grey,jpegs/Resene_Judge_Grey.jpg,true
N64-001-095,Resene Jumbo,jpegs/Resene_Jumbo.jpg,true
BR52-019-061,Resene Kabul,jpegs/Resene_Kabul.jpg,true
B55-041-254,Resene Kashmir Blue,jpegs/Resene_Kashmir_Blue.jpg,true
G36-036-141,Resene Kea,jpegs/Resene_Kea.jpg,true
G43-024-106,Resene Kelp,jpegs/Resene_Kelp.jpg,true
R80-012-017,Resene Kidman,jpegs/Resene_Kidman.jpg,true
N34-005-036,Resene Kilamanjaro,jpegs/Resene_Kilamanjaro.jpg,true
G62-089-102,Resene Kombi,jpegs/Resene_Kombi.jpg,true
WD033,Resene Kumera,jpegs/Resene_Kumera.jpg,true
G74-034-203,Resene Kumutoto,jpegs/Resene_Kumutoto.jpg,true
N57-006-142,Resene Lattitude,jpegs/Resene_Lattitude.jpg,true
G63-034-145,Resene Laurel,jpegs/Resene_Laurel.jpg,true
G70-019-106,Resene Lemon Grass,jpegs/Resene_Lemon_Grass.jpg,true
G47-045-154,Resene Leprechaun,jpegs/Resene_Leprechaun.jpg,true
Y56-030-087,Resene Lichen,jpegs/Resene_Lichen.jpg,true
N85-008-084,Resene Lighthouse,jpegs/Resene_Lighthouse.jpg,true
WW11,Resene Limed Ash,jpegs/Resene_Limed_Ash.jpg,true
WW12,Resene Limed Gum,jpegs/Resene_Limed_Gum.jpg,true
G80-020-097,Resene Linen,jpegs/Resene_Linen.jpg,true
B30-032-213,Resene Loch Ness,jpegs/Resene_Loch_Ness.jpg,true
BR54-039-054,Resene Lone Ranger,jpegs/Resene_Lone_Ranger.jpg,true
R34-056-025,Resene Lonestar,jpegs/Resene_Lonestar.jpg,true
R47-039-037,Resene Lumberjack,jpegs/Resene_Lumberjack.jpg,true
G30-019-194,Resene Madagascar,jpegs/Resene_Madagascar.jpg,true
R33-062-020,Resene Madam M,jpegs/Resene_Madam_M.jpg,true
BR70-023-073,Resene Malta,jpegs/Resene_Malta.jpg,true
Y83-026-071,Resene Manilla,jpegs/Resene_Manilla.jpg,true
V71-031-312,Resene Marionette,jpegs/Resene_Marionette.jpg,true
BR33-011-045,Resene Marlin,jpegs/Resene_Marlin.jpg,true
BR45-009-077,Resene Masala,jpegs/Resene_Masala.jpg,true
BR44-019-058,Resene Mash,jpegs/Resene_Mash.jpg,true
O56-071-068,Resene McKenzie,jpegs/Resene_McKenzie.jpg,true
B70-043-221,Resene Meltwater,jpegs/Resene_Meltwater.jpg,true
R53-027-004,Resene Memory,jpegs/Resene_Memory.jpg,true
N43-006-095,Resene Merlin,jpegs/Resene_Merlin.jpg,true
B31-030-276,Resene Midnight Express,jpegs/Resene_Midnight_Express.jpg,true
G31-010-167,Resene Midnight Moss,jpegs/Resene_Midnight_Moss.jpg,true
V49-015-294,Resene Mobster,jpegs/Resene_Mobster.jpg,true
R36-045-033,Resene Moccaccino,jpegs/Resene_Moccaccino.jpg,true
BR43-014-073,Resene Mondo,jpegs/Resene_Mondo.jpg,true
G33-012-157,Resene Moroccan Palm,jpegs/Resene_Moroccan_Palm.jpg,true
Y66-069-072,Resene Muddy Waters,jpegs/Resene_Muddy_Waters.jpg,true
BR63-059-076,Resene Muesli,jpegs/Resene_Muesli.jpg,true
N89-004-208,Resene Mystic,jpegs/Resene_Mystic.jpg,true
BR29-028-044,Resene Nala,jpegs/Resene_Nala.jpg,true
Y70-020-082,Resene Napa,jpegs/Resene_Napa.jpg,true
R32-050-029,Resene Nelson Red,jpegs/Resene_Nelson_Red.jpg,true
B80-026-266,Resene Nemo,jpegs/Resene_Nemo.jpg,true
